SCHOOL,NUMBER OF CANDIDATES,SAT FOR EXAM,SCHOOL OWNERSHIP,SCHOOL CATEGORY,SCHOOL TYPE,COMBINATIONS CATEGORY,ACADEMIC LEVEL CATEGORY,TOTAL PASSED CANDIDATES,GPA
s2419,,,,,,,,,
s2420,,,,,,,,,
s2421,,,PRIVATE,BOYS AND GIRLS,BOARDING,MIXED,COMBINED OA,,
s2422,,,,,,,,,
s2423,,,,,,,,,
s2424,,,,,,,,,
s2425,,,,,,,,,
s2426,,,,,,,,,
s2427,261,260,,,,,,259,2.7679
s2428,,,,,,,,,
s2429,,,,,,,,,
s2430,,,,,,,,,
s2431,,,,,,,,,
s2432,,,,,,,,,
s2433,67,66,,,,,,66,1.7778
s2434,,,,,,,,,
s2435,,,,,,,,,
s2436,,,,,,,,,
s2437,,,,,,,,,
s2438,,,,,,,,,
s2439,,,,,,,,,
s2440,,,,,,,,,
s2441,,,,,,,,,
s2442,,,,,,,,,
s2443,,,,,,,,,
s2444,,,,,,,,,
s2445,,,,,,,,,
s2446,,,,,,,,,
s2447,,,,,,,,,
s2448,49,49,,,,,,49,2.4694
s2449,,,,,,,,,
s2450,,,,,,,,,
s2451,,,,,,,,,
s2452,,,,,,,,,
s2453,45,45,,,,,,45,2.8926
s2454,,,,,,,,,
s2455,,,,,,,,,
s2456,,,,,,,,,
s2457,,,,,,,,,
s2458,,,,,,,,,
s2459,,,,,,,,,
s2460,,,,,,,,,
s2461,,,,,,,,,
s2462,,,,,,,,,
s2463,,,,,,,,,
s2464,,,,,,,,,
s2465,,,,,,,,,
s2466,,,,,,,,,
s2467,,,,,,,,,
s2468,,,,,,,,,
s2469,58,58,,,,,,58,3.1121
s2470,,,,,,,,,
s2471,,,,,,,,,
s2472,,,,,,,,,
s2473,,,,,,,,,
s2474,,,,,,,,,
s2475,,,,,,,,,
s2476,185,184,,,,,,184,2.9257
s2477,,,,,,,,,
s2478,,,,,,,,,
s2479,,,,,,,,,
s2480,,,,,,,,,
s2481,,,,,,,,,
s2482,,,,,,,,,
s2483,,,,,,,,,
s2484,,,,,,,,,
s2485,,,,,,,,,
s2486,,,,,,,,,
s2487,,,,,,,,,
s2488,,,,,,,,,
s2489,,,,,,,,,
s2490,,,,,,,,,
s2491,,,,,,,,,
s2492,,,,,,,,,
s2493,,,,,,,,,
s2494,,,,,,,,,
s2495,,,,,,,,,
s2496,,,,,,,,,
s2497,26,26,,,,,,26,2.5385
s2498,,,,,,,,,
s2499,116,115,PRIVATE,BOYS AND GIRLS,BOARDING,MIXED,COMBINED OA,115,2.6145
s2500,,,,,,,,,
s2501,,,,,,,,,
s2502,,,,,,,,,
s2503,,,,,,,,,
s2504,,,,,,,,,
s2505,,,,,,,,,
s2506,,,PRIVATE,BOYS AND GIRLS,BOARDING,,,,
s2507,,,,,,,,,
s2508,,,,,,,,,
s2509,,,,,,,,,
s2510,,,,,,,,,
s2511,35,35,,,,,,35,2.5905
s2512,63,63,,,,,,63,2.9206
s2513,,,,,,,,,
s2514,,,,,,,,,
s2515,,,,,,,,,
s2516,1,1,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,ARTS,COMBINED OA,-,--
s2517,,,,,,,,,
s2518,,,,,,,,,
s2519,,,,,,,,,
s2520,,,,,,,,,
s2521,,,,,,,,,
s2522,,,,,,,,,
s2523,,,,,,,,,
s2524,244,244,,,,,,244,2.7384
s2525,,,,,,,,,
s2526,,,,,,,,,
s2527,,,,,,,,,
s2528,,,,,,,,,
s2529,,,,,,,,,
s2530,,,,,,,,,
s2531,64,64,,,,,,64,2.3047
s2532,,,,,,,,,
s2533,,,,,,,,,
s2534,,,,,,,,,
s2535,,,,,,,,,
s2536,,,,,,,,,
s2537,,,,,,,,,
s2538,,,,,,,,,
s2539,,,,,,,,,
s2540,,,,,,,,,
s2541,,,,,,,,,
s2542,,,,,,,,,
s2543,,,,,,,,,
s2544,,,,,,,,,
s2545,,,,,,,,,
s2546,,,,,,,,,
s2547,,,,,,,,,
s2548,,,,,,,,,
s2549,140,138,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,MIXED,COMBINED OA,138,2.3575
s2550,,,,,,,,,
s2551,,,,,,,,,
s2552,,,,,,,,,
s2553,,,,,,,,,
s2554,,,,,,,,,
s2555,,,,,,,,,
s2556,,,,,,,,,
s2557,,,,,,,,,
s2558,,,,,,,,,
s2559,,,,,,,,,
s2560,,,,,,,,,
s2561,,,,,,,,,
s2562,,,,,,,,,
s2563,,,,,,,,,
s2564,,,,,,,,,
s2565,,,,,,,,,
s2566,,,,,,,,,
s2567,,,,,,,,,
s2568,,,,,,,,,
s2569,,,,,,,,,
s2570,,,,,,,,,
s2571,,,,,,,,,
s2572,,,,,,,,,
s2573,,,,,,,,,
s2574,,,,,,,,,
s2575,,,,,,,,,
s2576,,,,,,,,,
s2577,,,,,,,,,
s2578,,,,,,,,,
s2579,,,,,,,,,
s2580,,,,,,,,,
s2581,,,,,,,,,
s2582,,,,,,,,,
s2583,,,,,,,,,
s2584,,,,,,,,,
s2585,,,,,,,,,
s2586,,,,,,,,,
s2587,,,,,,,,,
s2588,,,,,,,,,
s2589,,,,,,,,,
s2590,,,,,,,,,
s2591,,,,,,,,,
s2592,,,,,,,,,
s2593,,,,,,,,,
s2594,,,,,,,,,
s2595,,,,,,,,,
s2596,,,,,,,,,
s2597,,,,,,,,,
s2598,,,,,,,,,
s2599,,,,,,,,,
s2600,,,,,,,,,
s2601,,,,,,,,,
s2602,,,,,,,,,
s2603,,,,,,,,,
s2604,,,,,,,,,
s2605,,,,,,,,,
s2606,,,,,,,,,
s2607,,,,,,,,,
s2608,,,,,,,,,
s2609,,,,,,,,,
s2610,,,,,,,,,
s2611,,,,,,,,,
s2612,,,,,,,,,
s2613,,,,,,,,,
s2614,,,,,,,,,
s2615,,,,,,,,,
s2616,,,,,,,,,
s2617,,,,,,,,,
s2618,,,,,,,,,
s2619,,,,,,,,,
s2620,,,,,,,,,
s2621,,,,,,,,,
s2622,,,,,,,,,
s2623,,,,,,,,,
s2624,,,GOVERNMENT,BOYS AND GIRLS,DAY,,,,
s2625,,,,,,,,,
s2626,,,,,,,,,
s2627,,,,,,,,,
s2628,,,,,,,,,
s2629,,,,,,,,,
s2630,,,,,,,,,
s2631,,,,,,,,,
s2632,,,,,,,,,
s2633,,,,,,,,,
s2634,,,,,,,,,
s2635,,,,,,,,,
s2636,,,,,,,,,
s2637,,,,,,,,,
s2638,,,,,,,,,
s2639,,,,,,,,,
s2640,,,,,,,,,
s2641,,,,,,,,,
s2642,,,,,,,,,
s2643,,,,,,,,,
s2644,,,,,,,,,
s2645,,,,,,,,,
s2646,,,,,,,,,
s2647,35,35,,,,,,35,2.9857
s2648,,,,,,,,,
s2649,,,,,,,,,
s2650,,,,,,,,,
s2651,,,,,,,,,
s2652,,,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,,,,
s2653,,,,,,,,,
s2654,,,,,,,,,
s2655,35,35,PRIVATE,BOYS AND GIRLS,BOARDING,,,35,2.0524
s2656,,,,,,,,,
s2657,,,,,,,,,
s2658,,,,,,,,,
s2659,,,,,,,,,
s2660,,,,,,,,,
s2661,,,,,,,,,
s2662,,,,,,,,,
s2663,,,,,,,,,
s2664,,,,,,,,,
s2665,,,,,,,,,
s2666,,,,,,,,,
s2667,,,,,,,,,
s2668,,,,,,,,,
s2669,,,,,,,,,
s2670,,,,,,,,,
s2671,,,,,,,,,
s2672,,,,,,,,,
s2673,,,,,,,,,
s2674,,,,,,,,,
s2675,,,,,,,,,
s2676,,,,,,,,,
s2677,,,,,,,,,
s2678,,,,,,,,,
s2679,,,,,,,,,
s2680,,,,,,,,,
s2681,,,,,,,,,
s2682,,,,,,,,,
s2683,,,,,,,,,
s2684,,,,,,,,,
s2685,,,,,,,,,
s2686,,,,,,,,,
s2687,,,,,,,,,
s2688,,,,,,,,,
s2689,,,,,,,,,
s2690,,,,,,,,,
s2691,,,,,,,,,
s2692,,,,,,,,,
s2693,5,5,PRIVATE,BOYS ONLY,BOARDING,ARTS,COMBINED OA,5,2.8000
s2694,,,,,,,,,
s2695,,,,,,,,,
s2696,,,,,,,,,
s2697,,,,,,,,,
s2698,,,,,,,,,
s2699,,,,,,,,,
s2700,,,,,,,,,
s2701,,,,,,,,,
s2702,,,,,,,,,
s2703,,,,,,,,,
s2704,,,,,,,,,
s2705,,,,,,,,,
s2706,,,,,,,,,
s2707,,,,,,,,,
s2708,,,,,,,,,
s2709,,,,,,,,,
s2710,,,,,,,,,
s2711,,,,,,,,,
s2712,,,,,,,,,
s2713,123,122,,,,,,122,2.1530
s2714,,,,,,,,,
s2715,,,,,,,,,
s2716,,,,,,,,,
s2717,,,,,,,,,
s2718,,,,,,,,,
s2719,,,,,,,,,
s2720,,,,,,,,,
s2721,,,,,,,,,
s2722,,,,,,,,,
s2723,,,,,,,,,
s2724,,,,,,,,,
s2725,,,,,,,,,
s2726,,,,,,,,,
s2727,,,,,,,,,
s2728,,,,,,,,,
s2729,,,,,,,,,
s2730,,,,,,,,,
s2731,,,,,,,,,
s2732,,,,,,,,,
s2733,,,,,,,,,
s2734,,,,,,,,,
s2735,,,,,,,,,
s2736,,,,,,,,,
s2737,,,,,,,,,
s2738,,,,,,,,,
s2739,,,,,,,,,
s2740,,,,,,,,,
s2741,,,,,,,,,
s2742,,,,,,,,,
s2743,,,,,,,,,
s2744,,,,,,,,,
s2745,,,,,,,,,
s2746,,,,,,,,,
s2747,,,,,,,,,
s2748,,,,,,,,,
s2749,,,,,,,,,
s2750,,,,,,,,,
s2751,,,,,,,,,
s2752,,,,,,,,,
s2753,,,,,,,,,
s2754,,,,,,,,,
s2755,,,,,,,,,
s2756,,,,,,,,,
s2757,,,,,,,,,
s2758,,,,,,,,,
s2759,,,,,,,,,
s2760,,,,,,,,,
s2761,,,,,,,,,
s2762,,,,,,,,,
s2763,,,,,,,,,
s2764,,,,,,,,,
s2765,,,,,,,,,
s2766,,,,,,,,,
s2767,,,,,,,,,
s2768,,,,,,,,,
s2769,,,,,,,,,
s2770,,,,,,,,,
s2771,,,,,,,,,
s2772,,,,,,,,,
s2773,,,,,,,,,
s2774,,,,,,,,,
s2775,,,,,,,,,
s2776,,,,,,,,,
s2777,,,,,,,,,
s2778,,,GOVERNMENT,BOYS AND GIRLS,DAY,,,,
s2779,,,,,,,,,
s2780,,,,,,,,,
s2781,,,,,,,,,
s2782,,,,,,,,,
s2783,,,,,,,,,
s2784,,,,,,,,,
s2785,,,,,,,,,
s2786,,,,,,,,,
s2787,,,,,,,,,
s2788,,,,,,,,,
s2789,,,,,,,,,
s2790,,,,,,,,,
s2791,,,,,,,,,
s2792,,,,,,,,,
s2793,,,,,,,,,
s2794,,,,,,,,,
s2795,,,,,,,,,
s2796,,,,,,,,,
s2797,,,,,,,,,
s2798,,,,,,,,,
s2799,,,,,,,,,
s2800,,,,,,,,,
s2801,,,,,,,,,
s2802,,,,,,,,,
s2803,,,,,,,,,
s2804,27,27,,,,,,27,2.0185
s2805,,,,,,,,,
s2806,,,,,,,,,
s2807,,,,,,,,,
s2808,,,,,,,,,
s2809,71,71,,,,,,71,2.5939
s2810,60,60,,,,,,60,2.5472
s2811,,,,,,,,,
s2812,,,,,,,,,
s2813,,,,,,,,,
s2814,,,,,,,,,
s2815,,,,,,,,,
s2816,,,,,,,,,
s2817,,,,,,,,,
s2818,,,,,,,,,
s2819,,,,,,,,,
s2820,,,,,,,,,
s2821,,,,,,,,,
s2822,,,,,,,,,
s2823,,,,,,,,,
s2824,,,,,,,,,
s2825,,,,,,,,,
s2826,,,,,,,,,
s2827,,,,,,,,,
s2828,,,,,,,,,
s2829,,,,,,,,,
s2830,,,,,,,,,
s2831,,,,,,,,,
s2832,,,,,,,,,
s2833,,,,,,,,,
s2834,,,,,,,,,
s2835,,,,,,,,,
s2836,,,,,,,,,
s2837,,,,,,,,,
s2838,,,,,,,,,
s2839,,,GOVERNMENT,BOYS AND GIRLS,DAY,,,,
s2840,,,,,,,,,
s2841,,,,,,,,,
s2842,,,,,,,,,
s2843,,,,,,,,,
s2844,,,,,,,,,
s2845,,,,,,,,,
s2846,,,PRIVATE,BOYS AND GIRLS,BOARDING,,,,
s2847,,,,,,,,,
s2848,,,,,,,,,
s2849,,,,,,,,,
s2850,,,,,,,,,
s2851,,,,,,,,,
s2852,,,,,,,,,
s2853,,,,,,,,,
s2854,,,,,,,,,
s2855,,,,,,,,,
s2856,,,,,,,,,
s2857,,,,,,,,,
s2858,,,,,,,,,
s2859,163,163,,,,,,163,2.5286
s2860,,,,,,,,,
s2861,,,,,,,,,
s2862,,,,,,,,,
s2863,,,,,,,,,
s2864,,,,,,,,,
s2865,,,,,,,,,
s2866,,,,,,,,,
s2867,,,,,,,,,
s2868,,,,,,,,,
s2869,,,,,,,,,
s2870,,,,,,,,,
s2871,,,,,,,,,
s2872,,,,,,,,,
s2873,,,,,,,,,
s2874,,,,,,,,,
s2875,,,,,,,,,
s2876,,,,,,,,,
s2877,2,2,,,,,,2,3.8333
s2878,,,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,,,,
s2879,,,,,,,,,
s2880,,,,,,,,,
s2881,,,,,,,,,
s2882,,,,,,,,,
s2883,,,,,,,,,
s2884,,,,,,,,,
s2885,,,,,,,,,
s2886,,,,,,,,,
s2887,,,,,,,,,
s2888,114,114,,,,,,114,2.8582
s2889,,,GOVERNMENT,BOYS AND GIRLS,DAY,,,,
s2890,,,,,,,,,
s2891,,,,,,,,,
s2892,,,,,,,,,
s2893,,,,,,,,,
s2894,,,,,,,,,
s2895,,,,,,,,,
s2896,,,,,,,,,
s2897,,,,,,,,,
s2898,,,,,,,,,
s2899,,,,,,,,,
s2900,,,,,,,,,
s2901,,,,,,,,,
s2902,,,,,,,,,
s2903,,,,,,,,,
s2904,,,,,,,,,
s2905,,,,,,,,,
s2906,,,,,,,,,
s2907,,,,,,,,,
s2908,,,,,,,,,
s2909,,,,,,,,,
s2910,,,,,,,,,
s2911,,,,,,,,,
s2912,,,,,,,,,
s2913,,,GOVERNMENT,BOYS AND GIRLS,DAY,,,,
s2914,,,,,,,,,
s2915,,,,,,,,,
s2916,,,,,,,,,
s2917,,,,,,,,,
s2918,,,,,,,,,
s2919,,,,,,,,,
s2920,,,,,,,,,
s2921,,,,,,,,,
s2922,,,,,,,,,
s2923,,,,,,,,,
s2924,,,,,,,,,
s2925,,,,,,,,,
s2926,,,,,,,,,
s2927,,,,,,,,,
s2928,,,,,,,,,
s2929,,,,,,,,,
s2930,,,,,,,,,
s2931,,,,,,,,,
s2932,,,,,,,,,
s2933,,,,,,,,,
s2934,,,,,,,,,
s2935,,,PRIVATE,BOYS AND GIRLS,DAY AND BOARDING,,,,
s2936,,,,,,,,,
s2937,,,,,,,,,
s2938,,,,,,,,,
s2939,,,,,,,,,
s2940,,,,,,,,,
s2941,,,,,,,,,
s2942,,,,,,,,,
s2943,,,,,,,,,
s2944,,,,,,,,,
s2945,,,,,,,,,
s2946,,,,,,,,,
s2947,,,,,,,,,
s2948,,,,,,,,,
s2949,,,,,,,,,
s2950,,,,,,,,,
s2951,,,,,,,,,
s2952,,,,,,,,,
s2953,,,,,,,,,
s2954,,,,,,,,,
s2955,,,,,,,,,
s2956,,,,,,,,,
s2957,,,,,,,,,
s2958,,,,,,,,,
s2959,,,,,,,,,
s2960,,,,,,,,,
s2961,,,,,,,,,
s2962,,,,,,,,,
s2963,,,,,,,,,
s2964,,,,,,,,,
s2965,,,,,,,,,
s2966,,,,,,,,,
s2967,,,,,,,,,
s2968,,,,,,,,,
s2969,,,,,,,,,
s2970,,,,,,,,,
s2971,,,,,,,,,
s2972,,,,,,,,,
s2973,,,,,,,,,
s2974,,,,,,,,,
s2975,,,,,,,,,
s2976,,,,,,,,,
s2977,,,,,,,,,
s2978,,,,,,,,,
s2979,,,,,,,,,
s2980,,,,,,,,,
s2981,,,,,,,,,
s2982,,,,,,,,,
s2983,,,,,,,,,
s2984,,,,,,,,,
s2985,,,,,,,,,
s2986,,,,,,,,,
s2987,,,,,,,,,
s2988,,,,,,,,,
s2989,,,,,,,,,
s2990,,,,,,,,,
s2991,,,,,,,,,
s2992,,,,,,,,,
s2993,,,,,,,,,
s2994,,,,,,,,,
s2995,,,,,,,,,
s2996,,,,,,,,,
s2997,,,,,,,,,
s2998,147,147,,,,,,147,2.3889
s2999,,,,,,,,,
s3000,43,42,,,,,,42,3.0952
s3001,,,,,,,,,
s3002,,,,,,,,,
s3003,,,,,,,,,
s3004,,,,,,,,,
s3005,,,,,,,,,
s3006,,,,,,,,,
s3007,,,,,,,,,
s3008,,,,,,,,,
s3009,,,,,,,,,
s3010,,,,,,,,,
s3011,,,,,,,,,
s3012,,,,,,,,,
s3013,,,,,,,,,
s3014,,,,,,,,,
s3015,,,,,,,,,
s3016,,,,,,,,,
s3017,,,,,,,,,
s3018,,,,,,,,,
s3019,,,,,,,,,
s3020,,,,,,,,,
s3021,,,,,,,,,
s3022,,,,,,,,,
s3023,,,,,,,,,
s3024,,,,,,,,,
s3025,,,,,,,,,
s3026,,,,,,,,,
s3027,,,,,,,,,
s3028,,,,,,,,,
s3029,,,,,,,,,
s3030,,,,,,,,,
s3031,,,,,,,,,
s3032,,,,,,,,,
s3033,,,,,,,,,
s3034,,,,,,,,,
s3035,,,,,,,,,
s3036,,,,,,,,,
s3037,,,,,,,,,
s3038,,,,,,,,,
s3039,,,,,,,,,
s3040,,,,,,,,,
s3041,,,,,,,,,
s3042,,,,,,,,,
s3043,,,,,,,,,
s3044,,,,,,,,,
s3045,,,,,,,,,
s3046,,,,,,,,,
s3047,,,,,,,,,
s3048,,,,,,,,,
s3049,,,,,,,,,
s3050,,,,,,,,,
s3051,,,,,,,,,
s3052,,,,,,,,,
s3053,,,,,,,,,
s3054,,,,,,,,,
s3055,,,,,,,,,
s3056,,,,,,,,,
s3057,,,,,,,,,
s3058,,,,,,,,,
s3059,,,,,,,,,
s3060,,,,,,,,,
s3061,,,,,,,,,
s3062,,,,,,,,,
s3063,,,,,,,,,
s3064,,,,,,,,,
s3065,,,,,,,,,
s3066,,,,,,,,,
s3067,,,,,,,,,
s3068,,,,,,,,,
s3069,,,,,,,,,
s3070,,,,,,,,,
s3071,,,,,,,,,
s3072,,,,,,,,,
s3073,,,,,,,,,
s3074,,,GOVERNMENT,BOYS AND GIRLS,DAY,,,,
s3075,,,,,,,,,
s3076,,,,,,,,,
s3077,,,,,,,,,
s3078,,,,,,,,,
s3079,,,,,,,,,
s3080,,,,,,,,,
s3081,,,,,,,,,
s3082,,,,,,,,,
s3083,,,,,,,,,
s3084,,,,,,,,,
s3085,,,,,,,,,
s3086,,,,,,,,,
s3087,,,,,,,,,
s3088,,,,,,,,,
s3089,,,,,,,,,
s3090,,,,,,,,,
s3091,,,,,,,,,
s3092,,,,,,,,,
s3093,,,,,,,,,
s3094,,,,,,,,,
s3095,,,,,,,,,
s3096,125,125,,,,,,125,2.6720
s3097,,,,,,,,,
s3098,,,,,,,,,
s3099,,,,,,,,,
s3100,,,,,,,,,
s3101,,,GOVERNMENT,BOYS AND GIRLS,DAY,,,,
s3102,,,,,,,,,
s3103,,,,,,,,,
s3104,,,,,,,,,
s3105,,,,,,,,,
s3106,,,PRIVATE,BOYS AND GIRLS,BOARDING,,,,
s3107,,,,,,,,,
s3108,,,,,,,,,
s3109,,,,,,,,,
s3110,,,,,,,,,
s3111,,,,,,,,,
s3112,84,84,,,,,,84,3.1766
s3113,,,,,,,,,
s3114,,,,,,,,,
s3115,,,,,,,,,
s3116,,,,,,,,,
s3117,,,,,,,,,
s3118,,,,,,,,,
s3119,,,,,,,,,
s3120,,,,,,,,,
s3121,,,,,,,,,
s3122,,,,,,,,,
s3123,,,,,,,,,
s3124,,,,,,,,,
s3125,,,,,,,,,
s3126,,,,,,,,,
s3127,,,,,,,,,
s3128,,,,,,,,,
s3129,,,,,,,,,
s3130,,,,,,,,,
s3131,,,,,,,,,
s3132,,,,,,,,,
s3133,,,,,,,,,
s3134,,,,,,,,,
s3135,65,65,,,,,,65,2.4718
s3136,,,,,,,,,
s3137,,,,,,,,,
s3138,,,,,,,,,
s3139,,,,,,,,,
s3140,,,,,,,,,
s3141,,,,,,,,,
s3142,,,,,,,,,
s3143,,,,,,,,,
s3144,,,,,,,,,
s3145,,,,,,,,,
s3146,,,,,,,,,
s3147,,,,,,,,,
s3148,,,,,,,,,
s3149,,,,,,,,,
s3150,,,,,,,,,
s3151,,,,,,,,,
s3152,,,,,,,,,
s3153,,,,,,,,,
s3154,,,,,,,,,
s3155,,,,,,,,,
s3156,39,39,,,,,,39,2.5556
s3157,,,,,,,,,
s3158,,,,,,,,,
s3159,,,,,,,,,
s3160,,,,,,,,,
s3161,,,,,,,,,
s3162,,,,,,,,,
s3163,,,,,,,,,
s3164,,,,,,,,,
s3165,,,,,,,,,
s3166,,,,,,,,,
s3167,,,,,,,,,
s3168,,,,,,,,,
s3169,,,,,,,,,
s3170,,,,,,,,,
s3171,,,,,,,,,
s3172,,,,,,,,,
s3173,,,,,,,,,
s3174,,,,,,,,,
s3175,,,,,,,,,
s3176,,,,,,,,,
s3177,,,,,,,,,
s3178,,,,,,,,,
s3179,,,GOVERNMENT,BOYS AND GIRLS,DAY,,,,
s3180,,,,,,,,,
s3181,,,,,,,,,
s3182,,,,,,,,,
s3183,,,,,,,,,
s3184,,,,,,,,,
s3185,,,,,,,,,
s3186,,,,,,,,,
s3187,,,,,,,,,
s3188,,,,,,,,,
s3189,,,,,,,,,
s3190,,,,,,,,,
s3191,,,,,,,,,
s3192,,,,,,,,,
s3193,,,,,,,,,
s3194,58,58,,,,,,58,3.1121
s3195,,,,,,,,,
s3196,,,,,,,,,
s3197,,,,,,,,,
s3198,,,,,,,,,
s3199,,,,,,,,,
s3200,,,,,,,,,
s3201,,,,,,,,,
s3202,,,,,,,,,
s3203,,,,,,,,,
s3204,,,,,,,,,
s3205,,,,,,,,,
s3206,,,,,,,,,
s3207,,,,,,,,,
s3208,,,,,,,,,
s3209,,,,,,,,,
s3210,,,,,,,,,
s3211,,,,,,,,,
s3212,,,,,,,,,
s3213,,,,,,,,,
s3214,,,,,,,,,
s3215,,,,,,,,,
s3216,,,,,,,,,
s3217,,,,,,,,,
s3218,,,,,,,,,
s3219,,,,,,,,,
s3220,,,,,,,,,
s3221,,,,,,,,,
s3222,,,,,,,,,
s3223,,,,,,,,,
s3224,,,,,,,,,
s3225,,,,,,,,,
s3226,,,,,,,,,
s3227,,,,,,,,,
s3228,113,113,,,,,,113,2.9381
s3229,,,,,,,,,
s3230,82,82,,,,,,82,2.6382
s3231,,,,,,,,,
s3232,,,,,,,,,
s3233,,,,,,,,,
s3234,,,,,,,,,
s3235,,,,,,,,,
s3236,,,,,,,,,
s3237,,,,,,,,,
s3238,,,,,,,,,
s3239,,,PRIVATE,BOYS AND GIRLS,BOARDING,,,,
s3240,,,,,,,,,
s3241,18,18,PRIVATE,GIRLS ONLY,BOARDING,MIXED,COMBINED OA,18,2.0926
s3242,,,,,,,,,
s3243,,,,,,,,,
s3244,,,,,,,,,
s3245,,,,,,,,,
s3246,,,,,,,,,
s3247,,,,,,,,,
s3248,,,,,,,,,
s3249,,,,,,,,,
s3250,,,,,,,,,
s3251,,,,,,,,,
s3252,,,,,,,,,
s3253,,,,,,,,,
s3254,,,,,,,,,
s3255,,,,,,,,,
s3256,,,,,,,,,
s3257,,,,,,,,,
s3258,,,,,,,,,
s3259,,,,,,,,,
s3260,,,,,,,,,
s3261,,,,,,,,,
s3262,,,,,,,,,
s3263,,,,,,,,,
s3264,,,,,,,,,
s3265,,,,,,,,,
s3266,,,,,,,,,
s3267,,,,,,,,,
s3268,,,,,,,,,
s3269,,,,,,,,,
s3270,,,,,,,,,
s3271,,,,,,,,,
s3272,,,,,,,,,
s3273,,,,,,,,,
s3274,,,,,,,,,
s3275,,,,,,,,,
s3276,,,,,,,,,
s3277,,,,,,,,,
s3278,,,,,,,,,
s3279,,,,,,,,,
s3280,,,,,,,,,
s3281,,,,,,,,,
s3282,,,,,,,,,
s3283,,,,,,,,,
s3284,,,,,,,,,
s3285,,,,,,,,,
s3286,,,,,,,,,
s3287,,,,,,,,,
s3288,,,,,,,,,
s3289,,,,,,,,,
s3290,,,,,,,,,
s3291,,,,,,,,,
s3292,,,,,,,,,
s3293,,,,,,,,,
s3294,,,,,,,,,
s3295,,,,,,,,,
s3296,,,,,,,,,
s3297,,,,,,,,,
s3298,,,,,,,,,
s3299,,,,,,,,,
s3300,,,,,,,,,
s3301,,,,,,,,,
s3302,,,,,,,,,
s3303,,,,,,,,,
s3304,,,,,,,,,
s3305,,,,,,,,,
s3306,,,,,,,,,
s3307,,,,,,,,,
s3308,40,39,,,,,,39,2.6197
s3309,,,,,,,,,
s3310,,,,,,,,,
s3311,,,,,,,,,
s3312,,,,,,,,,
s3313,,,,,,,,,
s3314,,,,,,,,,
s3315,,,,,,,,,
s3316,,,,,,,,,
s3317,,,,,,,,,
s3318,,,,,,,,,
s3319,,,,,,,,,
s3320,,,,,,,,,
s3321,,,,,,,,,
s3322,,,,,,,,,
s3323,,,,,,,,,
s3324,,,,,,,,,
s3325,,,,,,,,,
s3326,,,,,,,,,
s3327,,,,,,,,,
s3328,,,,,,,,,
s3329,,,,,,,,,
s3330,,,,,,,,,
s3331,,,,,,,,,
s3332,,,,,,,,,
s3333,,,,,,,,,
s3334,,,,,,,,,
s3335,,,,,,,,,
s3336,,,,,,,,,
s3337,,,,,,,,,
s3338,,,GOVERNMENT,BOYS AND GIRLS,DAY,,,,
s3339,,,,,,,,,
s3340,,,,,,,,,
s3341,,,,,,,,,
s3342,,,,,,,,,
s3343,,,,,,,,,
s3344,,,,,,,,,
s3345,,,,,,,,,
s3346,,,,,,,,,
s3347,,,,,,,,,
s3348,,,,,,,,,
s3349,,,,,,,,,
s3350,,,,,,,,,
s3351,,,,,,,,,
s3352,,,,,,,,,
s3353,,,,,,,,,
s3354,,,,,,,,,
s3355,,,,,,,,,
s3356,,,,,,,,,
s3357,,,,,,,,,
s3358,,,,,,,,,
s3359,,,,,,,,,
s3360,,,,,,,,,
s3361,,,,,,,,,
s3362,,,,,,,,,
s3363,,,,,,,,,
s3364,,,,,,,,,
s3365,,,,,,,,,
s3366,,,,,,,,,
s3367,,,,,,,,,
s3368,,,,,,,,,
s3369,,,,,,,,,
s3370,,,GOVERNMENT,BOYS AND GIRLS,DAY,,,,
s3371,,,,,,,,,
s3372,,,,,,,,,
s3373,,,,,,,,,
s3374,,,,,,,,,
s3375,,,,,,,,,
s3376,,,,,,,,,
s3377,,,,,,,,,
s3378,,,,,,,,,
s3379,,,,,,,,,
s3380,,,,,,,,,
s3381,,,,,,,,,
s3382,,,,,,,,,
s3383,,,,,,,,,
s3384,,,,,,,,,
s3385,,,,,,,,,
s3386,,,,,,,,,
s3387,,,,,,,,,
s3388,,,,,,,,,
s3389,,,,,,,,,
s3390,,,,,,,,,
s3391,,,,,,,,,
s3392,,,,,,,,,
s3393,,,,,,,,,
s3394,,,,,,,,,
s3395,,,,,,,,,
s3396,,,,,,,,,
s3397,43,43,,,,,,43,3.4922
s3398,,,,,,,,,
s3399,,,,,,,,,
s3400,,,,,,,,,
s3401,,,,,,,,,
s3402,,,,,,,,,
s3403,,,,,,,,,
s3404,,,,,,,,,
s3405,,,,,,,,,
s3406,,,,,,,,,
s3407,,,,,,,,,
s3408,,,,,,,,,
s3409,,,,,,,,,
s3410,,,,,,,,,
s3411,,,,,,,,,
s3412,,,,,,,,,
s3413,,,,,,,,,
s3414,,,,,,,,,
s3415,,,,,,,,,
s3416,,,,,,,,,
s3417,,,,,,,,,
s3418,,,,,,,,,
